index,Commune,NPA,Commune d'annonce / District,thu_tickets
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,68.0
1,Penthalaz,1305,Penthalaz,100.0
1,Penthalaz,1305,Penthalaz,100.0
1,Penthalaz,1305,Penthalaz,1.0
2,Bournens,1035,Bournens,20.0
3,Daillens,1306,Daillens,63.0
4,Sullens,1036,Sullens,60.0
5,Mex VD,1031,Mex (VD),42.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,82.0
7,Lussery-Villars,1307,Lussery-Villars,30.0
8,Gollion,1124,Gollion,54.0
9,Boussens,1034,Boussens,55.0
10,Aclens,1123,Aclens,25.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,51.0
12,Bremblens,1121,Bremblens,28.0
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,23.0
14,Crissier,1023,Crissier,100.0
14,Crissier,1023,Crissier,4.0
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),4.0
16,Grancy,1117,Grancy,16.0
17,Romanel-sur-Lausanne,1032,Lausanne,89.0
18,Vullierens,1115,Vullierens,22.0
19,Chevilly,1316,Chevilly,41.0
20,Echandens,1026,Echandens,81.0
21,Morrens VD,1054,Morrens (VD),26.0
22,Eclagnens,1376,Goumoëns,35.0
23,Ecublens VD,1024,Ecublens (VD),100.0
23,Ecublens VD,1024,Ecublens (VD),11.0
24,St-Saphorin-sur-Morges,1113,Echichens,21.0
25,Colombier VD,1114,Echichens,6.0
26,Cottens VD,1116,Hautemorges,9.0
27,Cugy VD,1053,Cugy (VD),67.0
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,51.0
29,Ferreyres,1313,Ferreyres,8.0
30,Vaux-sur-Morges,1126,Vaux-sur-Morges,4.0
32,Monnaz,1125,Echichens,19.0
33,Lausanne,1007,Lausanne,92.0
34,Lausanne,1018,Lausanne,100.0
34,Lausanne,1018,Lausanne,12.0
35,Poliez-le-Grand,1041,Montilliez,92.0
36,St-Sulpice VD,1025,Saint-Sulpice (VD),60.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,100.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,16.0
38,Lausanne,1004,Lausanne,100.0
38,Lausanne,1004,Lausanne,47.0
39,Lausanne,1003,Lausanne,31.0
40,Apples,1143,Hautemorges,100.0
40,Apples,1143,Hautemorges,91.0
41,Froideville,1055,Froideville,80.0
42,Lausanne,1006,Lausanne,100.0
42,Lausanne,1006,Lausanne,6.0
43,Lausanne,1010,Lausanne,94.0
44,Lausanne,1012,Lausanne,73.0
45,Epalinges,1066,Epalinges,100.0
45,Epalinges,1066,Epalinges,19.0
