index,Commune,NPA,Commune d'annonce / District,wed_tickets
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,46.0
1,Penthalaz,1305,Penthalaz,100.0
1,Penthalaz,1305,Penthalaz,100.0
1,Penthalaz,1305,Penthalaz,37.0
2,Bournens,1035,Bournens,37.0
3,Daillens,1306,Daillens,74.0
4,Sullens,1036,Sullens,44.0
5,Mex VD,1031,Mex (VD),30.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,25.0
7,Lussery-Villars,1307,Lussery-Villars,15.0
8,Gollion,1124,Gollion,51.0
9,Boussens,1034,Boussens,52.0
10,Aclens,1123,Aclens,18.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,29.0
12,Bremblens,1121,Bremblens,13.0
