index,Commune,NPA,Commune d'annonce / District,fri_tickets
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,51.0
1,Penthalaz,1305,Penthalaz,100.0
1,Penthalaz,1305,Penthalaz,100.0
2,Bournens,1035,Bournens,17.0
3,Daillens,1306,Daillens,46.0
4,Sullens,1036,Sullens,40.0
5,Mex VD,1031,Mex (VD),17.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,97.0
7,Lussery-Villars,1307,Lussery-Villars,28.0
8,Gollion,1124,Gollion,31.0
9,Boussens,1034,Boussens,25.0
10,Aclens,1123,Aclens,13.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,84.0
12,Bremblens,1121,Bremblens,3.0
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,25.0
14,Crissier,1023,Crissier,100.0
14,Crissier,1023,Crissier,11.0
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),2.0
16,Grancy,1117,Grancy,20.0
17,Romanel-sur-Lausanne,1032,Lausanne,81.0
18,Vullierens,1115,Vullierens,4.0
19,Chevilly,1316,Chevilly,31.0
20,Echandens,1026,Echandens,40.0
21,Morrens VD,1054,Morrens (VD),21.0
22,Eclagnens,1376,Goumoëns,36.0
23,Ecublens VD,1024,Ecublens (VD),65.0
24,St-Saphorin-sur-Morges,1113,Echichens,12.0
25,Colombier VD,1114,Echichens,4.0
26,Cottens VD,1116,Hautemorges,17.0
27,Cugy VD,1053,Cugy (VD),64.0
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,50.0
29,Ferreyres,1313,Ferreyres,13.0
31,Clarmont,1127,Clarmont,4.0
32,Monnaz,1125,Echichens,8.0
33,Lausanne,1007,Lausanne,88.0
34,Lausanne,1018,Lausanne,74.0
35,Poliez-le-Grand,1041,Montilliez,74.0
36,St-Sulpice VD,1025,Saint-Sulpice (VD),39.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,74.0
38,Lausanne,1004,Lausanne,100.0
38,Lausanne,1004,Lausanne,89.0
39,Lausanne,1003,Lausanne,32.0
40,Apples,1143,Hautemorges,83.0
41,Froideville,1055,Froideville,35.0
42,Lausanne,1006,Lausanne,58.0
43,Lausanne,1010,Lausanne,46.0
44,Lausanne,1012,Lausanne,54.0
45,Epalinges,1066,Epalinges,52.0
46,Lausanne,1005,Lausanne,69.0
47,Echichens,1112,Echichens,13.0
48,Tolochenaz,1131,Tolochenaz,12.0
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,26.0
50,Corcelles-sur-Chavornay,1374,Chavornay,2.0
51,Essert-Pittet,1435,Chavornay,6.0
52,Lully VD,1132,Lully (VD),9.0
53,Les Monts-de-Pully,1068,Pully,2.0
54,Peyres-Possens,1063,Montanaire,12.0
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,18.0
56,Villars-Tiercelin,1058,Jorat-Menthue,8.0
58,Denens,1135,Denens,3.0
59,Mollens VD,1146,Mollens (VD),2.0
60,La Croix (Lutry),1090,Lutry,9.0
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,3.0
62,Montricher,1147,Montricher,10.0
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,6.0
64,Peney-le-Jorat,1059,Jorat-Menthue,6.0
65,Vuarrens,1418,Vuarrens,23.0
