0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
0.0,3.0,5.0,6.0,8.0,11.0,13.0,13.0,14.0,16.0,19.0,20.0,22.0,22.0,23.0,25.0,26.0,26.0,26.0,26.0,28.0,29.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,36.0,37.0,38.0,39.0,40.0,41.0,41.0,41.0,41.0,41.0,45.0,47.0,49.0,50.0,50.0,50.0,50.0,50.0,51.0,53.0,54.0,59.0,60.0,60.0,61.0,61.0,65.0,69.0,69.0,72.0,73.0,74.0,76.0,77.0,77.0,77.0,78.0,79.0,80.0,82.0,83.0,84.0,85.0,86.0,87.0,89.0,90.0,91.0,92.0,93.0,94.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,123.0,126.0,128.0,130.0,131.0,132.0,133.0,134.0,138.0,140.0,141.0,142.0,143.0,144.0,146.0,152.0,156.0,160.0,161.0,162.0,166.0,171.0,172.0,173.0,174.0,181.0,182.0,188.0,191.0,204.0,209.0,212.0,225.0,240.0,1.0,2.0,9.0,18.0
inf,2.6786,2.6786,4.0302,4.0302,4.1759,4.1759,4.1759,4.8092,4.8092,4.4526,5.8333,7.8646,7.8646,8.012,8.5356,6.6482,6.6482,6.6482,6.6482,8.8323,9.1189,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,9.221,8.7858,9.3326,9.2563,9.7679,10.3962,10.6561,10.6561,10.6561,10.6561,10.6561,10.306,10.841,11.3557,11.4835,11.4835,11.4835,11.4835,11.4835,12.6105,12.5086,12.6886,13.2747,14.1837,14.1837,14.354,14.354,15.7995,16.7249,16.7249,17.3251,17.3536,17.3824,17.9425,18.0157,18.0157,18.0157,18.4821,19.5158,19.5809,19.8786,20.0702,20.1988,20.2004,20.6106,21.0312,21.3205,21.5007,21.8243,22.2954,21.6146,21.9079,22.9513,23.1938,22.9296,23.8183,23.8325,23.9884,24.2716,24.6209,24.878400000000003,24.8851,25.168,25.2321,25.2749,25.1803,25.8704,26.3325,26.3864,26.4556,26.4591,26.5673,26.6923,26.7876,26.2432,27.2994,27.3268,27.9944,28.9431,29.656,29.8253,29.927,30.0699,30.2266,30.2546,30.6263,30.2372,30.2631,30.975900000000003,31.013900000000003,31.347900000000003,32.0125,32.0435,33.383199999999995,33.8111,33.219800000000006,33.984,34.4754,35.5815,35.761199999999995,35.7723,35.8613,37.2818,37.3963,38.8414,39.3266,42.2405,44.1859,45.4706,50.5653,56.8572,inf,inf,4.1759,4.8092
2.6786,inf,inf,3.0074,3.0074,5.6066,5.6066,5.6066,2.6572,2.6572,5.7512,6.6216,9.6354,9.6354,9.7412,5.9204,10.7977,10.7977,10.7977,10.7977,8.3165,8.603,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,8.1457,8.961799999999998,11.6928,11.5386,7.749899999999999,12.8121,12.8121,12.8121,12.8121,12.8121,11.0944,10.42,13.1264,13.6395,13.6395,13.6395,13.6395,13.6395,9.3761,11.8684,12.0485,12.8469,16.3397,16.3397,16.509900000000002,16.509900000000002,17.5703,18.8809,18.8809,19.481,19.5096,15.4967,20.0985,20.1717,20.1717,20.1717,18.0543,21.6718,18.7084,22.0346,19.5544,22.3548,21.9712,20.0948,19.1455,19.4348,15.3672,19.9386,24.451400000000003,21.1869,21.4801,24.1503,25.3498,22.2895,25.9742,25.9884,22.1026,22.385900000000003,22.7352,22.9927,22.9994,23.2823,23.346400000000003,27.4308,24.8096,28.0264,28.4885,28.5424,24.5699,28.6151,18.6238,24.8066,24.9019,25.8154,27.6336,25.441,26.1943,31.0991,31.8119,31.9812,28.0413,32.2258,32.3826,32.4105,28.7406,29.8094,29.8353,29.0902,33.1699,33.503800000000005,34.1684,31.6157,35.5391,35.9671,32.792,32.0983,32.5897,37.7375,33.8755,33.8866,33.9756,39.4378,35.5106,37.0412,37.4409,44.3965,46.3419,47.6265,52.7213,59.0131,2.6786,2.6786,5.6066,2.6572
2.6786,inf,inf,3.0074,3.0074,5.6066,5.6066,5.6066,2.6572,2.6572,5.7512,6.6216,9.6354,9.6354,9.7412,5.9204,10.7977,10.7977,10.7977,10.7977,8.3165,8.603,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,10.991700000000002,8.1457,8.961799999999998,11.6928,11.5386,7.749899999999999,12.8121,12.8121,12.8121,12.8121,12.8121,11.0944,10.42,13.1264,13.6395,13.6395,13.6395,13.6395,13.6395,9.3761,11.8684,12.0485,12.8469,16.3397,16.3397,16.509900000000002,16.509900000000002,17.5703,18.8809,18.8809,19.481,19.5096,15.4967,20.0985,20.1717,20.1717,20.1717,18.0543,21.6718,18.7084,22.0346,19.5544,22.3548,21.9712,20.0948,19.1455,19.4348,15.3672,19.9386,24.451400000000003,21.1869,21.4801,24.1503,25.3498,22.2895,25.9742,25.9884,22.1026,22.385900000000003,22.7352,22.9927,22.9994,23.2823,23.346400000000003,27.4308,24.8096,28.0264,28.4885,28.5424,24.5699,28.6151,18.6238,24.8066,24.9019,25.8154,27.6336,25.441,26.1943,31.0991,31.8119,31.9812,28.0413,32.2258,32.3826,32.4105,28.7406,29.8094,29.8353,29.0902,33.1699,33.503800000000005,34.1684,31.6157,35.5391,35.9671,32.792,32.0983,32.5897,37.7375,33.8755,33.8866,33.9756,39.4378,35.5106,37.0412,37.4409,44.3965,46.3419,47.6265,52.7213,59.0131,2.6786,2.6786,5.6066,2.6572
4.0302,3.0074,3.0074,inf,inf,5.8087,5.8087,5.8087,3.6034,3.6034,5.9533000000000005,9.5869,9.8375,9.8375,11.7656,3.8111,10.9999,10.9999,10.9999,10.9999,10.6388,10.9253,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,12.5394,9.908,13.5193,11.7407,5.6717,13.0142,13.0142,13.0142,13.0142,13.0142,14.0596,14.5946,13.3286,13.8416,13.8416,13.8416,13.8416,13.8416,11.7069,16.2622,16.4422,12.3288,16.5418,16.5418,16.7121,16.7121,17.7724,19.083,19.083,19.6832,19.7117,13.3873,20.3006,20.3738,20.3738,20.3738,17.5362,21.873900000000003,18.1903,22.2367,21.8767,22.5569,22.1733,22.4171,17.0362,17.325400000000002,17.505599999999998,17.8293,24.6535,20.6687,20.962,23.6322,25.5519,26.6832,26.1763,26.1905,19.9933,20.2765,20.6259,20.8834,20.89,21.1729,21.237,27.632900000000003,24.9557,28.2285,28.6906,28.7445,22.4606,28.8172,22.5722,22.6973,22.7926,25.2973,27.1154,23.3317,28.2615,31.3012,32.014,32.1834,25.932,32.4279,32.5847,32.612700000000004,26.6312,29.2913,29.3172,26.9808,33.372,33.7059,34.3705,31.0976,35.7412,36.1692,32.273900000000005,29.9889,30.4803,37.9396,31.7662,31.7773,31.8662,39.6399,33.401300000000006,39.1084,35.3315,44.5986,46.544,47.8287,52.9234,59.215300000000006,4.0302,4.0302,5.8087,3.6034
4.0302,3.0074,3.0074,inf,inf,5.8087,5.8087,5.8087,3.6034,3.6034,5.9533000000000005,9.5869,9.8375,9.8375,11.7656,3.8111,10.9999,10.9999,10.9999,10.9999,10.6388,10.9253,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,11.1938,12.5394,9.908,13.5193,11.7407,5.6717,13.0142,13.0142,13.0142,13.0142,13.0142,14.0596,14.5946,13.3286,13.8416,13.8416,13.8416,13.8416,13.8416,11.7069,16.2622,16.4422,12.3288,16.5418,16.5418,16.7121,16.7121,17.7724,19.083,19.083,19.6832,19.7117,13.3873,20.3006,20.3738,20.3738,20.3738,17.5362,21.873900000000003,18.1903,22.2367,21.8767,22.5569,22.1733,22.4171,17.0362,17.325400000000002,17.505599999999998,17.8293,24.6535,20.6687,20.962,23.6322,25.5519,26.6832,26.1763,26.1905,19.9933,20.2765,20.6259,20.8834,20.89,21.1729,21.237,27.632900000000003,24.9557,28.2285,28.6906,28.7445,22.4606,28.8172,22.5722,22.6973,22.7926,25.2973,27.1154,23.3317,28.2615,31.3012,32.014,32.1834,25.932,32.4279,32.5847,32.612700000000004,26.6312,29.2913,29.3172,26.9808,33.372,33.7059,34.3705,31.0976,35.7412,36.1692,32.273900000000005,29.9889,30.4803,37.9396,31.7662,31.7773,31.8662,39.6399,33.401300000000006,39.1084,35.3315,44.5986,46.544,47.8287,52.9234,59.215300000000006,4.0302,4.0302,5.8087,3.6034
4.1759,5.6066,5.6066,5.8087,5.8087,inf,inf,inf,8.1495,8.1495,2.7008,6.9365,4.2147,4.2147,9.1153,8.2249,5.6069,5.6069,5.6069,5.6069,12.1726,12.4592,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,9.889,12.6729,9.0221,6.1179,8.267,8.9604,8.9604,8.9604,8.9604,8.9604,11.4093,11.9442,7.7058,8.816600000000001,8.816600000000001,8.816600000000001,8.816600000000001,8.816600000000001,17.0303,13.6118,13.7919,11.5229,14.1914,14.1914,9.5945,9.5945,12.1496,16.732599999999998,16.732599999999998,17.3328,17.3613,17.0717,17.950200000000002,18.0234,18.0234,18.0234,16.7302,19.5235,15.9309,19.8863,22.0889,20.2065,16.5505,22.6293,20.7205,13.8137,21.19,21.5136,22.3031,19.8628,20.1561,19.3014,23.2015,24.0329,23.8259,17.5015,16.6663,23.9609,24.3103,24.5677,24.5744,24.8573,24.9214,25.2825,39.6526,25.8781,26.3402,26.3941,19.1336,26.4668,17.299799999999998,26.3817,26.477,24.4913,23.6495,27.0161,31.3347,28.9508,29.6636,29.833,29.6164,30.0775,30.2343,20.808,30.3156,28.4854,28.5113,30.6652,31.0216,31.3555,32.0201,30.2917,33.390800000000006,33.8188,31.468,33.673300000000005,34.1647,35.5892,35.4506,35.4617,35.5506,37.2895,37.0857,42.1817,39.0159,42.2482,44.1936,45.4783,50.573,56.8648,4.1759,4.1759,inf,8.1495
4.1759,5.6066,5.6066,5.8087,5.8087,inf,inf,inf,8.1495,8.1495,2.7008,6.9365,4.2147,4.2147,9.1153,8.2249,5.6069,5.6069,5.6069,5.6069,12.1726,12.4592,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,9.889,12.6729,9.0221,6.1179,8.267,8.9604,8.9604,8.9604,8.9604,8.9604,11.4093,11.9442,7.7058,8.816600000000001,8.816600000000001,8.816600000000001,8.816600000000001,8.816600000000001,17.0303,13.6118,13.7919,11.5229,14.1914,14.1914,9.5945,9.5945,12.1496,16.732599999999998,16.732599999999998,17.3328,17.3613,17.0717,17.950200000000002,18.0234,18.0234,18.0234,16.7302,19.5235,15.9309,19.8863,22.0889,20.2065,16.5505,22.6293,20.7205,13.8137,21.19,21.5136,22.3031,19.8628,20.1561,19.3014,23.2015,24.0329,23.8259,17.5015,16.6663,23.9609,24.3103,24.5677,24.5744,24.8573,24.9214,25.2825,39.6526,25.8781,26.3402,26.3941,19.1336,26.4668,17.299799999999998,26.3817,26.477,24.4913,23.6495,27.0161,31.3347,28.9508,29.6636,29.833,29.6164,30.0775,30.2343,20.808,30.3156,28.4854,28.5113,30.6652,31.0216,31.3555,32.0201,30.2917,33.390800000000006,33.8188,31.468,33.673300000000005,34.1647,35.5892,35.4506,35.4617,35.5506,37.2895,37.0857,42.1817,39.0159,42.2482,44.1936,45.4783,50.573,56.8648,4.1759,4.1759,inf,8.1495
4.1759,5.6066,5.6066,5.8087,5.8087,inf,inf,inf,8.1495,8.1495,2.7008,6.9365,4.2147,4.2147,9.1153,8.2249,5.6069,5.6069,5.6069,5.6069,12.1726,12.4592,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,5.571,9.889,12.6729,9.0221,6.1179,8.267,8.9604,8.9604,8.9604,8.9604,8.9604,11.4093,11.9442,7.7058,8.816600000000001,8.816600000000001,8.816600000000001,8.816600000000001,8.816600000000001,17.0303,13.6118,13.7919,11.5229,14.1914,14.1914,9.5945,9.5945,12.1496,16.732599999999998,16.732599999999998,17.3328,17.3613,17.0717,17.950200000000002,18.0234,18.0234,18.0234,16.7302,19.5235,15.9309,19.8863,22.0889,20.2065,16.5505,22.6293,20.7205,13.8137,21.19,21.5136,22.3031,19.8628,20.1561,19.3014,23.2015,24.0329,23.8259,17.5015,16.6663,23.9609,24.3103,24.5677,24.5744,24.8573,24.9214,25.2825,39.6526,25.8781,26.3402,26.3941,19.1336,26.4668,17.299799999999998,26.3817,26.477,24.4913,23.6495,27.0161,31.3347,28.9508,29.6636,29.833,29.6164,30.0775,30.2343,20.808,30.3156,28.4854,28.5113,30.6652,31.0216,31.3555,32.0201,30.2917,33.390800000000006,33.8188,31.468,33.673300000000005,34.1647,35.5892,35.4506,35.4617,35.5506,37.2895,37.0857,42.1817,39.0159,42.2482,44.1936,45.4783,50.573,56.8648,4.1759,4.1759,inf,8.1495
4.8092,2.6572,2.6572,3.6034,3.6034,8.1495,8.1495,8.1495,inf,inf,7.5107,8.2805,11.3949,11.3949,11.4,7.638,12.6438,12.6438,12.6438,12.6438,7.467,7.7535,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,12.7512,9.4345,6.7362,12.8681,13.2981,9.4986,14.6582,14.6582,14.6582,14.6582,14.6582,12.7533,9.5705,14.8859,15.4856,15.4856,15.4856,15.4856,15.4856,7.1505,14.6008,12.259,14.2245,18.1858,18.1858,18.356,18.356,19.3298,20.727,20.727,21.3271,21.3557,16.4443,21.9446,22.0178,22.0178,22.0178,19.4318,23.5179,20.086,16.2571,18.7049,24.2009,23.7307,19.2453,20.0932,20.3825,12.7099,20.8863,17.5295,30.4073,22.8577,25.5278,27.1959,21.8821,18.9696,27.8345,23.0503,23.3335,15.2934,23.9404,23.947,24.2299,24.294,29.2769,20.4641,29.8725,30.3346,30.3885,25.5176,30.4612,25.6293,25.7543,25.8496,27.1929,29.0111,26.3887,23.9687,32.9452,33.658,33.8273,28.989,34.0719,34.2287,34.2566,29.6882,31.187,31.2129,30.0378,35.016,35.3499,36.0145,32.993300000000005,26.9884,37.8132,34.1695,33.046,33.5373,39.5836,34.8232,34.834300000000006,34.923199999999994,41.2839,36.4583,34.8156,38.3885,46.2426,48.188,49.4727,54.5674,60.8592,4.8092,4.8092,8.1495,inf
