index,Commune,NPA,Commune d'annonce / District,adjusted_demand_sat,distance_to_venoge_km
0,Penthaz,1303,Penthaz,98,0.74
0,Penthaz,1303,Penthaz,98,0.74
0,Penthaz,1303,Penthaz,90,0.74
1,Penthalaz,1305,Penthalaz,97,2.72
1,Penthalaz,1305,Penthalaz,88,2.72
2,Bournens,1035,Bournens,32,3.51
3,Daillens,1306,Daillens,67,3.98
4,Sullens,1036,Sullens,36,4.12
5,Mex VD,1031,Mex (VD),27,4.32
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,70,4.72
7,Lussery-Villars,1307,Lussery-Villars,12,4.85
8,Gollion,1124,Gollion,47,5.04
9,Boussens,1034,Boussens,61,5.08
10,Aclens,1123,Aclens,14,6.28
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,92,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,92,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,92,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,92,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,18,7.81
12,Bremblens,1121,Bremblens,14,8.46
