index,Commune,NPA,Commune d'annonce / District,adjusted_demand_thu,distance_to_venoge_km
0,Penthaz,1303,Penthaz,98,0.74
0,Penthaz,1303,Penthaz,98,0.74
0,Penthaz,1303,Penthaz,67,0.74
1,Penthalaz,1305,Penthalaz,97,2.72
1,Penthalaz,1305,Penthalaz,97,2.72
1,Penthalaz,1305,Penthalaz,1,2.72
2,Bournens,1035,Bournens,19,3.51
3,Daillens,1306,Daillens,61,3.98
4,Sullens,1036,Sullens,58,4.12
5,Mex VD,1031,Mex (VD),40,4.32
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,96,4.72
6,Cossonay-Ville,1304,Cossonay,78,4.72
7,Lussery-Villars,1307,Lussery-Villars,29,4.85
8,Gollion,1124,Gollion,51,5.04
9,Boussens,1034,Boussens,52,5.08
10,Aclens,1123,Aclens,23,6.28
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,92,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,92,7.81
