"Commune","NPA"
"Penthaz",1303
"Penthalaz",1305
"Bournens",1035
"Daillens",1306
"Sullens",1036
"Mex VD",1031
"Cossonay-Ville",1304
"Lussery-Villars",1307
"Gollion",1124
"Boussens",1034
"Aclens",1123
"Cheseaux-sur-Lausanne",1033
"Bremblens",1121
"Oulens-sous-Echallens",1377
"Crissier",1023
"La Chaux (Cossonay)",1308
"Grancy",1117
"Romanel-sur-Lausanne",1032
"Vullierens",1115
"Chevilly",1316
"Echandens",1026
"Morrens VD",1054
"Eclagnens",1376
"Ecublens VD",1024
"St-Saphorin-sur-Morges",1113
"Colombier VD",1114
"Cottens VD",1116
"Cugy VD",1053
"Chavannes-près-Renens",1022
"Ferreyres",1313
"Vaux-sur-Morges",1126
"Clarmont",1127
"Monnaz",1125
"Lausanne",1007
"Lausanne",1018
"Poliez-le-Grand",1041
"St-Sulpice VD",1025
"Le Mont-sur-Lausanne",1052
"Lausanne",1004
"Lausanne",1003
"Apples",1143
"Froideville",1055
"Lausanne",1006
"Lausanne",1010
"Lausanne",1012
"Epalinges",1066
"Lausanne",1005
"Echichens",1112
"Tolochenaz",1131
"Villars-Ste-Croix",1029
"Corcelles-sur-Chavornay",1374
"Essert-Pittet",1435
"Lully VD",1132
"Les Monts-de-Pully",1068
"Peyres-Possens",1063
"Lussy-sur-Morges",1167
"Villars-Tiercelin",1058
"Villars-Mendraz",1061
"Denens",1135
"Mollens VD",1146
"La Croix (Lutry)",1090
"Corcelles-le-Jorat",1082
"Montricher",1147
"Essertines-sur-Yverdon",1417
"Peney-le-Jorat",1059
"Vuarrens",1418
"Agiez",1352
"Valeyres-sous-Rances",1358
"Villars-sous-Yens",1168
"Ogens",1045
"Hermenches",1513
"Sottens",1062
"Ropraz",1088
"Savigny",1073
"Berolle",1149
"Lavigny",1175
"Montpreveyres",1081
"Pailly",1416
"Ursins",1412
"Montcherand",1354
"Mathod",1438
"Sergey",1355
"Rances",1439
"Orzens",1413
"Aubonne",1170
"Vaulion",1325
"Forel (Lavaux)",1072
"Buchillon",1164
"Féchy",1173
"Oppens",1047
"Chexbres",1071
"Rueyres",1046
"Suscévaz",1437
"Gossens",1407
"Moudon",1510
"Vucherens",1509
"Champvent",1443
"Les Cullayes",1080
"Perroy",1166
"Le Pont",1342
"Chanéaz",1409
"Neyruz-sur-Moudon",1515
"Essertes",1078
"L'Abbaye",1344
"Puidoux",1070
"Montherod",1174
"Mont-sur-Rolle",1185
"Cuarny",1404
"Bougy-Villars",1172
"Servion",1077
"Mézières VD",1083
"Les Tavernes",1607
"St-Livres",1176
"Le Séchey",1345
"Cronay",1406
"Châtillens",1610
"Bussy-sur-Moudon",1514
"Chavannes-sur-Moudon",1512
"Baulmes",1446
"Corseaux",1802
"Chardonne",1803
"Les Charbonnières",1343
"Jongny",1805
"Corsier-sur-Vevey",1804
"Bursins",1183
"Gilly",1182
"Orges",1430
"Bursinel",1195
"Oulens-sur-Lucens",1522
"Chesalles-sur-Moudon",1683
"Ferlens VD",1076
"Forel-sur-Lucens",1526
"Saubraz",1189
"Carrouge VD",1084
"Combremont-le-Petit",1536
"Yvonand",1462
"Vinzel",1184
"Curtilles",1521
"Vuiteboeuf",1445
"La Conversion",1093
"Essertines-sur-Rolle",1186
"Ecoteaux",1612
"Champagne",1424
"Les Bioux",1346
"Le Mont-Pèlerin",1801
"Vugelles-La Mothe",1431
"Burtigny",1268
"St-Oyens",1187
"Bonvillars",1427
"Onnens VD",1425
"Fiez",1420
"Fenil-sur-Corsier",1809
"Prahins",1408
"Chailly-Montreux",1816
"La Tour-de-Peilz",1814
"Lovatens",1682
"Vich",1267
"Maracon",1613
"Fontaines-sur-Grandson",1421
"Molondin",1415
"Clarens",1815
"Blonay",1807
"Brent",1817
"Gimel",1188
"L'Orient",1341
"Le Solliat",1347
"Le Brassus",1348
"Villars-Burquin",1423
"L'Auberson",1454
"Rovray",1463
"Duillier",1266
"La Sagne (Ste-Croix)",1450
"Chernex",1822
"Prangins",1197
"Montreux",1820
"Chêne-Pâquier",1464
"Genolier",1272
"Longirod",1261
"Champtauroz",1537
"Signy",1274
"Trélex",1270
"Glion",1823
"Chamby",1832
"Givrins",1271
"Mutrux",1428
"Eysins",1262
"Borex",1277
"Vaumarcus",2028
"St-Légier-La Chiésaz",1806
"Bassins",1269
"Gingins",1276
"Les Rasses",1452
"Crassier",1263
"Mauborget",1453
"Crans VD",1299
"Chéserex",1275
"Rennaz",1847
"Roche VD",1852
"Chavannes-de-Bogis",1279
"Payerne",1530
"Noville",1845
"Founex",1297
"Chessel",1846
"Coppet",1296
"Granges-près-Marnand",1523
"Commugny",1291
"Tannay",1295
"Chavannes-des-Bois",1290
"Yvorne",1853
"Marnand",1524
"La Rippe",1278
"Grandcour",1543
"St-Cergue",1264
"Couvet",2108
"Trey",1552
"Chevroux",1545
"Aigle",1860
"La Cure",1265
"Arzier-Le Muids",1273
"Sédeilles",1554
"Villeneuve VD",1844
"St-Triphon",1867
"La Tine",1658
"Villars-le-Grand",1584
"Salavaux",1585
"Constantine",1587
"Bex",1880
"Chabrey",1589
"Huémoz",1884
"Vallamand",1586
"Lavey-les-Bains",1892
"Les Moulins",1660
"Chesières",1885
"Cudrefin",1588
"La Forclaz VD",1866
"La Comballaz",1862
"Rougemont",1659
"Gryon",1882
"Corbeyrier",1856
