"","PLZ","day","ticket"
"1",1000,"JE",20
"2",1001,"JE",2
"3",1003,"JE",27
"4",1004,"JE",128
"5",1005,"JE",72
"6",1006,"JE",94
"7",1007,"JE",81
"8",1008,"JE",122
"9",1009,"JE",136
"10",1010,"JE",80
"11",1012,"JE",61
"12",1018,"JE",97
"13",1020,"JE",104
"14",1022,"JE",45
"15",1023,"JE",92
"16",1024,"JE",97
"17",1025,"JE",53
"18",1026,"JE",69
"19",1027,"JE",22
"20",1028,"JE",124
"21",1029,"JE",36
"22",1030,"JE",186
"23",1031,"JE",36
"24",1032,"JE",79
"25",1033,"JE",115
"26",1034,"JE",49
"27",1035,"JE",17
"28",1036,"JE",50
"29",1037,"JE",26
"30",1038,"JE",30
"31",1040,"JE",164
"32",1041,"JE",76
"33",1042,"JE",86
"34",1043,"JE",22
"35",1044,"JE",20
"36",1045,"JE",11
"37",1046,"JE",8
"38",1047,"JE",7
"39",1052,"JE",104
"40",1053,"JE",60
"41",1054,"JE",21
"42",1055,"JE",68
"43",1058,"JE",25
"44",1059,"JE",5
"45",1061,"JE",4
"46",1063,"JE",11
"47",1066,"JE",105
"48",1070,"JE",26
"49",1071,"JE",18
"50",1072,"JE",17
"51",1073,"JE",29
"52",1076,"JE",7
"53",1077,"JE",17
"54",1080,"JE",8
"55",1081,"JE",8
"56",1082,"JE",8
"57",1083,"JE",13
"58",1084,"JE",19
"59",1085,"JE",7
"60",1088,"JE",8
"61",1090,"JE",10
"62",1091,"JE",35
"63",1092,"JE",52
"64",1093,"JE",17
"65",1094,"JE",17
"66",1095,"JE",47
"67",1096,"JE",18
"68",1097,"JE",5
"69",1098,"JE",4
"70",1110,"JE",159
"71",1112,"JE",49
"72",1113,"JE",19
"73",1114,"JE",5
"74",1115,"JE",18
"75",1116,"JE",8
"76",1117,"JE",14
"77",1121,"JE",25
"78",1122,"JE",21
"79",1123,"JE",22
"80",1124,"JE",43
"81",1125,"JE",17
"82",1126,"JE",4
"83",1128,"JE",13
"84",1131,"JE",27
"85",1132,"JE",28
"86",1134,"JE",18
"87",1135,"JE",15
"88",1136,"JE",6
"89",1140,"JE",1
"90",1141,"JE",3
"91",1142,"JE",29
"92",1143,"JE",16
"93",1144,"JE",5
"94",1145,"JE",23
"95",1146,"JE",7
"96",1147,"JE",9
"97",1148,"JE",39
"98",1149,"JE",10
"99",1152,"JE",2
"100",1162,"JE",61
"101",1163,"JE",51
"102",1164,"JE",9
"103",1165,"JE",5
"104",1166,"JE",11
"105",1167,"JE",25
"106",1168,"JE",13
"107",1169,"JE",19
"108",1170,"JE",36
"109",1172,"JE",1
"110",1173,"JE",5
"111",1174,"JE",4
"112",1175,"JE",12
"113",1176,"JE",7
"114",1180,"JE",46
"115",1182,"JE",14
"116",1183,"JE",10
"117",1184,"JE",20
"118",1185,"JE",31
"119",1186,"JE",5
"120",1187,"JE",2
"121",1188,"JE",30
"122",1189,"JE",7
"123",1195,"JE",10
"124",1196,"JE",84
"125",1197,"JE",27
"126",1200,"JE",2
