"","PLZ","day","ticket"
"1",1000,"ME",22
"2",1003,"ME",36
"3",1004,"ME",239
"4",1005,"ME",46
"5",1006,"ME",122
"6",1007,"ME",118
"7",1008,"ME",149
"8",1009,"ME",130
"9",1010,"ME",93
"10",1012,"ME",70
"11",1014,"ME",1
"12",1018,"ME",145
"13",1019,"ME",1
"14",1020,"ME",206
"15",1022,"ME",87
"16",1023,"ME",199
"17",1024,"ME",130
"18",1025,"ME",42
"19",1026,"ME",54
"20",1027,"ME",45
"21",1028,"ME",92
"22",1029,"ME",7
"23",1030,"ME",217
"24",1031,"ME",25
"25",1032,"ME",68
"26",1033,"ME",112
"27",1034,"ME",47
"28",1035,"ME",32
"29",1036,"ME",35
"30",1037,"ME",22
"31",1038,"ME",20
"32",1040,"ME",213
"33",1041,"ME",101
"34",1042,"ME",42
"35",1043,"ME",13
"36",1044,"ME",27
"37",1045,"ME",2
"38",1047,"ME",3
"39",1052,"ME",133
"40",1053,"ME",70
"41",1054,"ME",26
"42",1055,"ME",41
"43",1058,"ME",12
"44",1059,"ME",3
"45",1061,"ME",6
"46",1062,"ME",6
"47",1063,"ME",17
"48",1066,"ME",90
"49",1068,"ME",2
"50",1070,"ME",19
"51",1071,"ME",13
"52",1072,"ME",38
"53",1073,"ME",58
"54",1076,"ME",8
"55",1077,"ME",24
"56",1078,"ME",2
"57",1080,"ME",13
"58",1081,"ME",8
"59",1082,"ME",2
"60",1083,"ME",9
"61",1084,"ME",8
"62",1085,"ME",3
"63",1088,"ME",2
"64",1090,"ME",15
"65",1091,"ME",24
"66",1092,"ME",34
"67",1093,"ME",12
"68",1094,"ME",8
"69",1095,"ME",34
"70",1096,"ME",15
"71",1097,"ME",4
"72",1098,"ME",1
"73",1110,"ME",182
"74",1112,"ME",25
"75",1113,"ME",14
"76",1114,"ME",4
"77",1115,"ME",13
"78",1116,"ME",5
"79",1117,"ME",9
"80",1121,"ME",12
"81",1122,"ME",15
"82",1123,"ME",16
"83",1124,"ME",41
"84",1125,"ME",4
"85",1126,"ME",2
"86",1127,"ME",1
"87",1128,"ME",10
"88",1131,"ME",32
"89",1132,"ME",9
"90",1134,"ME",11
"91",1135,"ME",5
"92",1136,"ME",3
"93",1142,"ME",37
"94",1143,"ME",16
"95",1144,"ME",3
"96",1145,"ME",17
"97",1147,"ME",15
"98",1148,"ME",51
"99",1149,"ME",3
"100",1162,"ME",46
"101",1163,"ME",40
"102",1165,"ME",3
"103",1166,"ME",13
"104",1167,"ME",18
"105",1168,"ME",4
"106",1169,"ME",6
"107",1170,"ME",22
"108",1172,"ME",1
"109",1173,"ME",6
"110",1174,"ME",13
