"","PLZ","day","ticket"
"1",1000,"SA",21
"2",1003,"SA",60
"3",1004,"SA",166
"4",1005,"SA",80
"5",1006,"SA",155
"6",1007,"SA",148
"7",1008,"SA",91
"8",1009,"SA",143
"9",1010,"SA",60
"10",1012,"SA",98
"11",1018,"SA",78
"12",1020,"SA",64
"13",1022,"SA",35
"14",1023,"SA",72
"15",1024,"SA",66
"16",1025,"SA",57
"17",1026,"SA",54
"18",1027,"SA",59
"19",1028,"SA",51
"20",1029,"SA",28
"21",1030,"SA",152
"22",1031,"SA",23
"23",1032,"SA",53
"24",1033,"SA",102
"25",1034,"SA",57
"26",1035,"SA",29
"27",1036,"SA",30
"28",1037,"SA",24
"29",1038,"SA",10
"30",1040,"SA",116
"31",1041,"SA",86
"32",1042,"SA",80
"33",1043,"SA",9
"34",1044,"SA",17
"35",1045,"SA",10
"36",1046,"SA",1
"37",1052,"SA",117
"38",1053,"SA",75
"39",1054,"SA",31
"40",1055,"SA",39
"41",1058,"SA",5
"42",1061,"SA",2
"43",1063,"SA",11
"44",1066,"SA",74
"45",1068,"SA",2
"46",1070,"SA",11
"47",1071,"SA",23
"48",1072,"SA",26
"49",1073,"SA",36
"50",1076,"SA",5
"51",1077,"SA",17
"52",1078,"SA",4
"53",1080,"SA",10
"54",1081,"SA",9
"55",1083,"SA",11
"56",1084,"SA",6
"57",1085,"SA",6
"58",1090,"SA",6
"59",1091,"SA",24
"60",1092,"SA",25
"61",1093,"SA",13
"62",1094,"SA",10
"63",1095,"SA",55
"64",1096,"SA",10
"65",1110,"SA",124
"66",1112,"SA",18
"67",1113,"SA",11
"68",1114,"SA",2
"69",1115,"SA",7
"70",1116,"SA",6
"71",1117,"SA",28
"72",1121,"SA",13
"73",1122,"SA",8
"74",1123,"SA",13
"75",1124,"SA",39
"76",1125,"SA",6
"77",1128,"SA",8
"78",1131,"SA",13
"79",1132,"SA",4
"80",1134,"SA",20
"81",1136,"SA",9
"82",1141,"SA",4
"83",1142,"SA",23
"84",1143,"SA",12
"85",1144,"SA",2
"86",1145,"SA",4
"87",1146,"SA",4
"88",1147,"SA",21
"89",1148,"SA",90
"90",1149,"SA",5
"91",1162,"SA",34
"92",1163,"SA",29
"93",1164,"SA",3
"94",1165,"SA",4
"95",1166,"SA",9
"96",1167,"SA",8
"97",1168,"SA",5
"98",1169,"SA",25
"99",1170,"SA",20
"100",1172,"SA",2
"101",1173,"SA",2
"102",1174,"SA",2
"103",1175,"SA",4
"104",1176,"SA",2
"105",1180,"SA",15
"106",1182,"SA",18
"107",1183,"SA",4
"108",1184,"SA",5
"109",1185,"SA",11
"110",1186,"SA",1
"111",1188,"SA",20
