"","PLZ","day","ticket"
"1",1000,"VE",20
"2",1001,"VE",5
"3",1003,"VE",28
"4",1004,"VE",165
"5",1005,"VE",62
"6",1006,"VE",51
"7",1007,"VE",78
"8",1008,"VE",86
"9",1009,"VE",94
"10",1010,"VE",37
"11",1012,"VE",44
"12",1018,"VE",63
"13",1020,"VE",96
"14",1022,"VE",44
"15",1023,"VE",98
"16",1024,"VE",56
"17",1025,"VE",34
"18",1026,"VE",32
"19",1027,"VE",21
"20",1028,"VE",55
"21",1029,"VE",23
"22",1030,"VE",108
"23",1031,"VE",13
"24",1032,"VE",72
"25",1033,"VE",91
"26",1034,"VE",22
"27",1035,"VE",14
"28",1036,"VE",32
"29",1037,"VE",12
"30",1038,"VE",19
"31",1040,"VE",134
"32",1041,"VE",60
"33",1042,"VE",67
"34",1043,"VE",2
"35",1044,"VE",9
"36",1046,"VE",8
"37",1052,"VE",66
"38",1053,"VE",57
"39",1054,"VE",17
"40",1055,"VE",27
"41",1058,"VE",7
"42",1059,"VE",5
"43",1063,"VE",11
"44",1066,"VE",45
"45",1068,"VE",2
"46",1070,"VE",16
"47",1071,"VE",13
"48",1072,"VE",12
"49",1073,"VE",20
"50",1077,"VE",4
"51",1080,"VE",5
"52",1081,"VE",2
"53",1082,"VE",3
"54",1083,"VE",1
"55",1084,"VE",2
"56",1085,"VE",2
"57",1088,"VE",3
"58",1090,"VE",8
"59",1091,"VE",16
"60",1092,"VE",35
"61",1093,"VE",7
"62",1094,"VE",9
"63",1095,"VE",32
"64",1096,"VE",2
"65",1098,"VE",1
"66",1110,"VE",110
"67",1112,"VE",9
"68",1113,"VE",11
"69",1114,"VE",4
"70",1115,"VE",2
"71",1116,"VE",15
"72",1117,"VE",18
"73",1121,"VE",3
"74",1123,"VE",12
"75",1124,"VE",23
"76",1125,"VE",7
"77",1127,"VE",4
"78",1128,"VE",3
"79",1131,"VE",10
"80",1132,"VE",7
"81",1134,"VE",1
"82",1135,"VE",3
"83",1136,"VE",4
"84",1141,"VE",6
"85",1142,"VE",10
"86",1143,"VE",6
"87",1144,"VE",1
"88",1145,"VE",9
"89",1146,"VE",2
"90",1147,"VE",9
"91",1148,"VE",32
"92",1162,"VE",46
"93",1163,"VE",16
"94",1164,"VE",5
"95",1165,"VE",2
"96",1166,"VE",4
"97",1167,"VE",16
"98",1168,"VE",2
"99",1169,"VE",2
"100",1170,"VE",13
"101",1173,"VE",3
"102",1175,"VE",10
"103",1176,"VE",4
"104",1180,"VE",19
"105",1182,"VE",8
"106",1183,"VE",2
"107",1184,"VE",3
"108",1185,"VE",5
"109",1187,"VE",3
"110",1188,"VE",4
"111",1189,"VE",1
"112",1195,"VE",5
"113",1196,"VE",47
"114",1197,"VE",12
"115",1201,"VE",11
"116",1202,"VE",13
"117",1203,"VE",16
"118",1204,"VE",2
"119",1205,"VE",21
"120",1206,"VE",5
"121",1207,"VE",15
"122",1208,"VE",6
"123",1209,"VE",7
"124",1212,"VE",15
"125",1213,"VE",25
"126",1214,"VE",3
"127",1217,"VE",18
"128",1218,"VE",8
"129",1219,"VE",16
"130",1220,"VE",2
"131",1222,"VE",3
"132",1223,"VE",4
"133",1224,"VE",6
"134",1225,"VE",7
"135",1226,"VE",7
"136",1227,"VE",26
"137",1228,"VE",10
"138",1231,"VE",3
"139",1232,"VE",2
"140",1233,"VE",8
"141",1234,"VE",3
"142",1239,"VE",3
"143",1241,"VE",3
"144",1242,"VE",4
"145",1245,"VE",3
"146",1247,"VE",2
"147",1248,"VE",2
"148",1252,"VE",3
"149",1255,"VE",10
"150",1256,"VE",5
"151",1257,"VE",1
"152",1258,"VE",2
"153",1260,"VE",58
"154",1261,"VE",9
"155",1262,"VE",7
"156",1263,"VE",1
"157",1264,"VE",4
"158",1265,"VE",2
"159",1266,"VE",2
"160",1267,"VE",3
"161",1268,"VE",8
"162",1269,"VE",8
"163",1270,"VE",4
"164",1271,"VE",6
"165",1272,"VE",7
"166",1273,"VE",2
"167",1274,"VE",4
"168",1275,"VE",1
"169",1276,"VE",4
"170",1277,"VE",3
"171",1278,"VE",4
"172",1279,"VE",6
"173",1285,"VE",2
"174",1286,"VE",2
"175",1290,"VE",10
"176",1291,"VE",9
"177",1292,"VE",3
"178",1293,"VE",8
"179",1295,"VE",2
"180",1296,"VE",2
"181",1302,"VE",30
"182",1303,"VE",166
"183",1304,"VE",192
"184",1305,"VE",150
"185",1306,"VE",33
"186",1307,"VE",25
"187",1308,"VE",2
"188",1312,"VE",20
"189",1313,"VE",10
"190",1315,"VE",49
"191",1316,"VE",26
"192",1317,"VE",15
"193",1318,"VE",9
"194",1321,"VE",7
"195",1322,"VE",4
"196",1325,"VE",1
"197",1326,"VE",4
"198",1337,"VE",28
"199",1338,"VE",2
"200",1342,"VE",2
"201",1344,"VE",2
"202",1345,"VE",2
"203",1346,"VE",2
"204",1347,"VE",1
"205",1348,"VE",4
"206",1350,"VE",33
"207",1352,"VE",2
"208",1353,"VE",3
"209",1354,"VE",7
