"","PLZ","day","ticket"
"1",1003,"ABO",1
"2",1004,"ABO",4
"3",1006,"ABO",1
"4",1007,"ABO",1
"5",1008,"ABO",3
"6",1010,"ABO",4
"7",1012,"ABO",4
"8",1018,"ABO",3
"9",1020,"ABO",5
"10",1022,"ABO",1
"11",1023,"ABO",1
"12",1024,"ABO",2
"13",1025,"ABO",1
"14",1026,"ABO",4
"15",1028,"ABO",1
"16",1030,"ABO",14
"17",1031,"ABO",2
"18",1032,"ABO",1
"19",1033,"ABO",2
"20",1035,"ABO",1
"21",1036,"ABO",4
"22",1037,"ABO",2
"23",1040,"ABO",5
"24",1041,"ABO",6
"25",1044,"ABO",1
"26",1054,"ABO",2
"27",1055,"ABO",4
"28",1066,"ABO",2
"29",1073,"ABO",2
"30",1094,"ABO",2
"31",1095,"ABO",3
"32",1110,"ABO",2
"33",1112,"ABO",3
"34",1115,"ABO",2
"35",1124,"ABO",5
"36",1131,"ABO",1
"37",1132,"ABO",1
"38",1145,"ABO",1
"39",1148,"ABO",1
"40",1162,"ABO",2
"41",1169,"ABO",2
"42",1170,"ABO",1
"43",1180,"ABO",1
"44",1195,"ABO",1
"45",1196,"ABO",3
"46",1202,"ABO",1
"47",1227,"ABO",2
"48",1236,"ABO",2
"49",1302,"ABO",7
"50",1303,"ABO",59
"51",1304,"ABO",26
"52",1305,"ABO",29
"53",1306,"ABO",8
"54",1313,"ABO",2
"55",1315,"ABO",2
"56",1316,"ABO",2
"57",1317,"ABO",1
"58",1321,"ABO",1
"59",1325,"ABO",4
"60",1337,"ABO",2
"61",1347,"ABO",1
"62",1350,"ABO",2
"63",1372,"ABO",2
"64",1373,"ABO",2
"65",1375,"ABO",2
"66",1377,"ABO",4
"67",1400,"ABO",7
"68",1405,"ABO",2
"69",1422,"ABO",2
"70",1468,"ABO",2
"71",1510,"ABO",2
"72",1544,"ABO",3
"73",1562,"ABO",1
"74",1630,"ABO",2
"75",1807,"ABO",2
"76",1814,"ABO",3
"77",1820,"ABO",1
"78",1870,"ABO",2
"79",1908,"ABO",1
"80",1958,"ABO",3
"81",2208,"ABO",3
"82",6814,"ABO",1
"83",6900,"ABO",2
"84",8152,"ABO",8
