index,Commune,NPA,Commune d'annonce / District,full_demand_fri,distance_to_venoge_km,P_Y,adjusted_demand_fri
0,Penthaz,1303,Penthaz,100.0,0.74,0.9792044207837601,98
0,Penthaz,1303,Penthaz,100.0,0.74,0.9792044207837601,98
0,Penthaz,1303,Penthaz,51.0,0.74,0.9792044207837601,50
1,Penthalaz,1305,Penthalaz,100.0,2.72,0.969409570578176,97
1,Penthalaz,1305,Penthalaz,100.0,2.72,0.969409570578176,97
2,Bournens,1035,Bournens,17.0,3.51,0.9643601352009368,16
3,Daillens,1306,Daillens,46.0,3.98,0.9609845271174783,44
4,Sullens,1036,Sullens,40.0,4.12,0.959921058361331,38
5,Mex VD,1031,Mex (VD),17.0,4.32,0.9583535248910825,16
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
6,Cossonay-Ville,1304,Cossonay,100.0,4.72,0.9550408579554229,96
