index,Commune,NPA,Commune d'annonce / District,full_demand_fri,distance_to_venoge_km
0,Penthaz,1303,Penthaz,100.0,0.74
0,Penthaz,1303,Penthaz,100.0,0.74
0,Penthaz,1303,Penthaz,51.0,0.74
1,Penthalaz,1305,Penthalaz,100.0,2.72
1,Penthalaz,1305,Penthalaz,100.0,2.72
2,Bournens,1035,Bournens,17.0,3.51
3,Daillens,1306,Daillens,46.0,3.98
4,Sullens,1036,Sullens,40.0,4.12
5,Mex VD,1031,Mex (VD),17.0,4.32
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,97.0,4.72
7,Lussery-Villars,1307,Lussery-Villars,28.0,4.85
8,Gollion,1124,Gollion,31.0,5.04
9,Boussens,1034,Boussens,25.0,5.08
10,Aclens,1123,Aclens,13.0,6.28
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,84.0,7.81
12,Bremblens,1121,Bremblens,3.0,8.46
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,25.0,8.48
14,Crissier,1023,Crissier,100.0,8.59
14,Crissier,1023,Crissier,11.0,8.59
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),2.0,8.88
16,Grancy,1117,Grancy,20.0,9.16
17,Romanel-sur-Lausanne,1032,Lausanne,81.0,9.17
18,Vullierens,1115,Vullierens,4.0,9.23
19,Chevilly,1316,Chevilly,31.0,9.38
20,Echandens,1026,Echandens,40.0,9.7
21,Morrens VD,1054,Morrens (VD),21.0,9.71
22,Eclagnens,1376,Goumoëns,36.0,10.34
23,Ecublens VD,1024,Ecublens (VD),65.0,10.6
24,St-Saphorin-sur-Morges,1113,Echichens,12.0,10.75
25,Colombier VD,1114,Echichens,4.0,10.88
26,Cottens VD,1116,Hautemorges,17.0,11.29
27,Cugy VD,1053,Cugy (VD),64.0,11.3
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,50.0,11.43
29,Ferreyres,1313,Ferreyres,13.0,12.65
31,Clarmont,1127,Clarmont,4.0,13.14
32,Monnaz,1125,Echichens,8.0,13.26
33,Lausanne,1007,Lausanne,88.0,13.51
34,Lausanne,1018,Lausanne,74.0,13.64
35,Poliez-le-Grand,1041,Montilliez,74.0,13.9
36,St-Sulpice VD,1025,Saint-Sulpice (VD),39.0,14.13
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,74.0,14.3
38,Lausanne,1004,Lausanne,100.0,14.6
38,Lausanne,1004,Lausanne,89.0,14.6
39,Lausanne,1003,Lausanne,32.0,15.24
40,Apples,1143,Hautemorges,83.0,15.63
